"","x"
"1",2001
"2",852
"3",1806
"4",1356
"5",1233
"6",1590
"7",1273
"8",1770
"9",1734
"10",1457
"11",1357
"12",1716
"13",1445
"14",1468
"15",1452
"16",1098
"17",1238
"18",2478
"19",832
"20",1289
"21",1470
"22",1628
"23",1459
"24",2256
"25",2058
"26",1487
"27",1581
"28",1569
"29",468
"30",503
"31",597
"32",1539
"33",1423
"34",1246
"35",1508
"36",1047
"37",1307
"38",1399
"39",1320
"40",736
"41",784
"42",1534
"43",1077
"44",1211
"45",1430
"46",2505
"47",2491
"48",2144
"49",1839
"50",863
"51",2414
"52",940
"53",1545
"54",878
"55",789
"56",1136
"57",1189
"58",1430
"59",697
"60",834
"61",1015
"62",2051
"63",1373
"64",2446
"65",1905
"66",1512
"67",530
"68",1328
"69",2077
"70",1319
"71",656
"72",1847
"73",2496
"74",1595
"75",1513
"76",1847
"77",1137
"78",1571
"79",1195
"80",995
"81",1230
"82",1107
"83",1133
"84",879
"85",937
"86",1888
"87",1661
"88",820
"89",1313
"90",1586
"91",1911
"92",1447
"93",916
"94",780
"95",1042
"96",1090
"97",1750
"98",1724
"99",1726
"100",1384
"101",1881
"102",1114
"103",747
"104",1378
"105",1068
"106",1032
"107",1152
"108",806
"109",1225
"110",504
"111",1493
"112",1011
"113",1737
"114",1258
"115",2102
"116",2428
"117",1630
"118",1288
"119",1839
"120",1385
"121",1805
"122",1192
"123",2093
"124",1299
"125",2331
"126",2512
"127",1778
"128",1417
"129",1941
"130",1752
"131",996
